CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
21,Botswana,Botswana,Sub-Saharan Africa,51,3,67.6,58.6,50.8,48.8,87.4,68.2,74.8,68.4,68.2,74.1,77.4,65,70,6.3,25.0,22.0,12.2,32.6,Botswana,2.3,$43.90,3.0,2.6,"$18,503.00",18.2,2.8,260.9,14.5
22,Brazil,Brazil,Americas,143,24,53.4,55.0,45.5,47.5,70.1,56.5,5.3,58.0,50.7,77.8,64.6,60,50,10.2,27.5,34.0,32.9,38.1,Brazil,211.0,"$3,480.60",1.1,-0.6,"$15,259.00",12.1,3.7,"71,989.3",89.5
186,Brunei Darussalam,Brunei ,Asia-Pacific,57,11,66.6,61.1,62.3,47.5,92.3,67.6,20.0,83.6,90.9,74.7,84.6,65,50,0.2,0.0,18.5,20.6,32.9,Brunei Darussalam,0.4,$36.60,3.9,0.5,"$64,673.00",9.1,-0.5,274.6,2.5
23,Bulgaria,Bulgaria,Europe,35,20,70.4,66.2,43.6,46.8,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70,60,3.0,10.0,10.0,20.2,34.3,Bulgaria,7.0,$170.90,3.4,3.6,"$24,561.00",4.3,2.5,"1,222.9",20.4
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,124,21,56.5,45.1,36.6,34.5,80.9,81.9,60.8,44.8,52.2,74.7,61.0,65,40,9.5,27.5,28.0,19.3,24.6,Burkina Faso,20.3,$47.30,5.7,5.7,"$2,280.00",6.3,-3.2,208.0,40.0
25,Burma,Burma,Asia-Pacific,135,30,55.2,37.2,19.7,32.7,87.2,87.1,81.9,60.0,64.3,72.5,70.0,30,20,5.0,25.0,25.0,5.9,20.7,Burma,54.0,$357.30,6.5,6.5,"$5,355.00",1.6,8.6,"2,766.0",38.2
26,Burundi,Burundi,Sub-Saharan Africa,161,40,49.9,28.0,32.1,27.0,77.1,79.3,32.2,51.8,67.3,74.7,49.8,50,30,15.1,35.0,30.0,12.9,26.3,Burundi,11.5,$8.70,1.8,-0.1,$783.00,1.4,-0.7,1.0,60.7
27,Cambodia,Cambodia,Asia-Pacific,118,24,57.3,39.9,23.2,17.0,89.1,84.3,98.3,30.9,62.6,75.1,66.6,50,50,9.2,20.0,20.0,17.1,22.9,Cambodia,16.5,$77.00,7.0,7.1,"$4,571.00",0.7,2.4,"3,706.0",28.5
28,Cameroon,Cameroon,Sub-Saharan Africa,144,32,53.4,38.3,27.2,21.0,74.8,89.0,79.9,43.9,49.9,81.2,55.2,30,50,14.9,35.0,33.0,14.4,19.1,Cameroon,25.9,$100.60,3.7,4.3,"$3,804.00",3.4,2.5,781.6,40.9
29,Canada,Canada,Americas,9,1,77.9,84.5,73.3,87.9,76.0,49.8,84.2,81.4,72.4,76.1,88.8,80,80,3.1,33.0,15.0,33.0,40.9,Canada,37.6,"$1,904.40",1.6,1.7,"$51,342.00",5.6,1.9,"50,331.9",88.6
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,77,5,63.8,44.5,47.5,48.7,77.9,70.7,69.7,60.6,55.2,83.3,68.0,80,60,11.0,35.0,24.0,20.1,31.2,Cabo Verde,0.5,$4.30,5.5,4.0,"$7,469.00",12.3,1.1,104.0,124.2
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,166,44,48.8,23.2,28.2,22.0,65.3,92.2,95.4,23.3,40.9,74.9,45.2,45,30,17.4,50.0,30.0,8.6,16.1,Central African Republic,4.7,$4.20,3.0,4.1,$984.00,3.7,2.7,25.6,47.8
32,Chad,Chad,Sub-Saharan Africa,158,38,50.4,27.7,25.0,21.0,44.6,93.9,96.1,25.3,42.9,76.7,52.0,60,40,14.0,60.0,45.0,13.3,14.2,Chad,15.9,$31.90,3.0,-0.2,"$1,645.00",1.9,-1.0,566.6,44.2
33,Chile,Chile,Americas,19,2,75.2,70.2,68.4,74.5,72.3,80.4,90.4,75.1,62.5,85.5,83.0,70,70,6.0,40.0,27.0,21.1,25.5,Chile,19.0,$495.20,1.1,2.1,"$25,155.00",7.1,2.3,"11,437.4",27.9
34,China,China,Asia-Pacific,107,20,58.4,62.2,71.5,46.4,72.6,67.6,54.8,80.2,64.9,69.8,71.2,20,20,4.4,45.0,25.0,9.4,32.9,China,1397.7,"$27,307.00",6.1,6.7,"$16,785.00",4.3,2.9,"141,225.0",54.4
35,Colombia,Colombia,Americas,49,6,68.1,59.8,36.4,49.7,69.7,69.3,78.9,71.0,77.7,78.1,77.0,80,70,6.5,39.0,32.0,22.0,32.0,Colombia,50.3,$785.80,3.3,2.4,"$15,644.00",9.7,3.5,"14,493.1",52.9
36,Comoros,Comoros,Sub-Saharan Africa,132,25,55.7,34.0,28.2,23.6,63.5,91.6,97.3,48.5,60.4,79.7,66.2,45,30,6.9,30.0,50.0,15.7,16.7,Comoros,0.9,$2.50,1.9,2.9,"$3,209.00",4.3,3.3,7.9,23.8
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,165,43,49.0,23.0,18.2,11.5,71.3,96.0,99.5,53.1,40.2,61.7,63.2,30,20,10.9,40.0,35.0,6.6,11.5,"Congo, Democratic Republic of the Congo",86.8,$83.20,4.4,4.6,"$1,143.00",4.2,4.8,"1,478.3",14.7
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,156,37,50.7,32.2,25.7,23.5,80.4,84.0,81.8,36.6,36.6,86.5,56.4,35,30,11.8,30.0,30.0,12.5,23.1,"Congo, Republic of",5.4,$31.20,-0.9,-0.3,"$3,435.00",9.5,2.2,"3,366.1",95.3
39,Costa Rica,CostaRica,Americas,72,14,64.2,64.0,58.1,59.0,79.9,87.7,24.3,66.2,55.5,80.9,75.0,70,50,5.0,25.0,30.0,22.0,20.2,Costa Rica,5.0,$92.10,2.1,3.3,"$20,434.00",11.9,2.1,"2,535.7",73.9
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,91,7,61.7,42.8,34.9,27.0,77.6,90.4,84.1,60.8,48.9,74.7,73.8,75,50,8.1,36.0,25.0,17.9,17.8,Côte d'Ivoire,25.7,$158.30,6.9,7.4,"$5,455.00",3.3,0.8,"1,008.7",37.8
41,Croatia,Croatia,Europe,79,38,63.6,68.4,41.1,51.4,79.0,35.8,89.6,56.2,43.6,78.7,84.0,75,60,3.0,36.0,18.0,22.0,46.3,Croatia,4.1,$112.60,2.9,2.9,"$29,973.00",6.9,0.8,"1,364.6",72.0
42,Cuba,Cuba,Americas,176,31,28.1,27.7,10.0,48.7,47.1,0.0,14.6,20.0,20.0,64.6,64.2,10,10,7.9,50.0,30.0,43.5,64.6,Cuba,11.3,$159.40,0.5,1.8,"$14,080.00",1.6,5.6,N/A,51.9
43,Cyprus,Cyprus,Europe,33,19,71.4,78.5,57.9,65.0,80.2,52.1,82.0,76.1,60.5,85.0,84.0,75,60,3.0,35.0,12.5,24.5,40.0,Cyprus,1.2,$36.90,3.2,4.4,"$41,254.00",7.3,0.6,"24,248.0",94.9
44,Czech Republic,CzechRepublic,Europe,27,14,73.8,76.2,56.8,64.4,79.1,51.4,98.1,68.8,77.1,79.7,84.0,70,80,3.0,22.0,19.0,35.3,40.2,Czech Republic,10.7,$413.00,2.6,3.5,"$42,576.00",1.9,2.9,"7,576.5",30.8
45,Denmark,Denmark,Europe,10,5,77.8,86.7,86.9,93.4,43.7,23.1,98.2,88.8,73.8,84.5,84.0,90,80,3.0,56.0,22.0,44.9,50.6,Denmark,5.8,$319.50,2.4,2.5,"$59,830.00",4.9,0.7,930.2,30.3
46,Djibouti,Djibouti,Sub-Saharan Africa,126,22,56.2,42.8,28.2,27.9,79.6,80.4,79.4,63.3,49.4,70.4,43.2,60,50,20.9,30.0,25.0,22.7,25.6,Djibouti,1.0,$6.30,7.5,7.1,"$5,748.00",10.3,3.3,181.9,66.5
47,Dominica,Dominica,Americas,147,25,53.0,51.2,66.3,51.0,70.0,7.4,6.1,68.4,67.0,82.4,55.6,70,40,14.7,35.0,25.0,33.9,55.6,Dominica,0.1,$0.80,9.2,0.0,"$12,659.00",N/A,1.6,32.6,83.3
48,Dominican Republic,DominicanRepublic,Americas,88,17,62.1,51.2,28.8,34.6,84.6,91.7,84.4,56.4,58.7,75.3,69.4,70,40,7.8,25.0,27.0,13.8,16.7,Dominican Republic,10.7,$199.40,5.1,6.1,"$19,182.00",5.9,1.8,"3,012.8",53.6
49,Ecuador,Ecuador,Americas,149,27,52.4,39.5,24.7,38.5,77.1,58.5,75.9,50.4,47.9,81.7,59.8,35,40,10.1,35.0,25.0,20.9,37.2,Ecuador,17.4,$203.60,0.1,0.5,"$11,847.00",4.0,0.3,966.2,49.6
50,Egypt,Egypt,Middle East and North Africa,130,11,55.7,51.2,54.0,37.0,86.9,73.1,6.0,62.7,51.4,64.3,67.0,65,50,9.0,22.5,22.5,17.1,29.9,Egypt,100.4,"$1,391.30",5.6,4.7,"$12,251.00",10.8,13.9,"9,010.0",83.8
51,El Salvador,ElSalvador,Americas,94,18,61.0,39.9,33.5,34.2,77.9,81.0,79.6,52.4,52.2,81.0,70.8,70,60,7.1,30.0,30.0,20.2,25.1,El Salvador,6.5,$55.60,2.4,2.4,"$9,140.00",4.1,0.1,662.2,69.0
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,163,41,49.2,27.8,15.4,17.0,75.2,90.0,96.1,36.4,34.4,79.4,48.8,40,30,15.6,35.0,35.0,5.9,18.3,Equatorial Guinea,1.4,$28.20,-6.1,-7.1,"$19,327.00",6.4,0.6,452.3,43.9
53,Eritrea,Eritrea,Sub-Saharan Africa,173,45,42.3,24.2,15.4,21.0,74.0,64.3,78.1,17.3,69.6,55.0,69.2,0,20,5.4,30.0,30.0,28.2,34.5,Eritrea,3.5,$6.60,3.8,-1.3,"$1,710.00",5.1,-16.4,67.1,265.8
54,Estonia,Estonia,Europe,8,4,78.2,81.8,80.8,86.4,81.0,54.4,99.6,72.7,57.8,79.7,84.0,90,70,3.0,20.0,20.0,33.2,39.0,Estonia,1.3,$47.80,4.3,3.9,"$38,811.00",5.1,2.3,"3,044.5",8.4
156,Eswatini,Eswatini,Sub-Saharan Africa,137,27,55.1,48.5,46.1,36.4,78.7,64.3,16.4,61.5,69.5,78.2,71.4,50,40,9.3,33.0,27.5,17.0,34.5,Eswatini,1.1,$12.40,1.0,1.8,"$9,048.00",22.1,2.6,130.2,42.5
55,Ethiopia,Ethiopia,Sub-Saharan Africa,151,35,51.7,23.2,33.8,31.5,78.2,91.9,79.6,47.5,57.4,60.6,61.4,35,20,11.8,35.0,30.0,7.5,16.5,Ethiopia,112.1,$243.60,9.0,9.1,"$2,312.00",2.1,15.8,"2,516.2",57.6
